用户ID,性别,年龄,是否会员,常用省份,常用城市
1,男,20,是,广东,广州
2,女,18,是,河北,石家庄
3,女,22,是,内蒙古,呼和浩特
4,男,50,是,湖北,襄阳
5,女,31,是,山东,临沂
6,男,19,否,青海,西宁
7,女,20,是,山东,济南
8,男,29,否,重庆,重庆
9,男,40,是,上海,上海
10,女,32,是,广东,中山
11,女,41,否,湖北,宜昌
12,男,19,否,湖南,长沙
13,女,33,否,北京,北京
14,女,21,是,北京,北京
15,女,43,否,广东,深圳
16,男,32,是,海南,三亚
17,男,36,是,河北,石家庄
18,男,24,否,宁夏,银川
19,女,42,是,浙江,温州
20,男,25,是,重庆,重庆
21,男,36,否,山东,威海
22,男,44,否,浙江,金华
23,女,31,是,广西,南宁
24,女,36,是,江苏,常州
25,男,19,否,上海,上海
26,男,48,是,河北,唐山
27,女,21,是,黑龙江,大庆
28,女,20,是,上海,上海
29,男,46,否,上海,上海
30,男,25,否,湖南,湘潭
31,男,29,是,海南,海口
32,男,19,否,广东,东莞
33,女,24,否,四川,乐山
34,女,46,否,广东,广州
35,女,19,否,江苏,无锡
36,女,45,是,湖南,湘潭
37,女,39,是,湖南,衡阳
38,男,23,否,辽宁,鞍山
39,男,25,是,新疆,乌鲁木齐
40,男,33,否,湖北,宜昌
41,女,23,否,黑龙江,大庆
42,女,23,是,内蒙古,包头
43,女,28,是,重庆,重庆
44,男,49,是,河北,保定
45,男,21,是,黑龙江,大庆
46,男,23,是,陕西,宝鸡
47,男,50,否,重庆,重庆
48,女,29,否,江苏,常州
49,女,25,是,浙江,绍兴
50,女,33,是,新疆,喀什
51,男,23,否,四川,绵阳
52,男,19,否,安徽,合肥
53,男,41,是,浙江,杭州
54,女,24,否,陕西,西安
55,男,32,否,西藏,日喀则
56,女,43,是,广东,佛山
57,男,39,否,陕西,宝鸡
58,男,38,是,四川,乐山
59,男,23,是,浙江,金华
60,女,28,否,湖北,武汉
61,女,20,是,湖北,荆州
62,男,29,是,北京,北京
63,男,37,否,陕西,渭南
64,男,21,是,河南,郑州
65,女,20,是,内蒙古,包头
66,男,33,是,宁夏,银川
67,男,38,是,北京,北京
68,女,34,否,河南,新乡
69,男,37,否,上海,上海
70,男,28,是,贵州,安顺
71,男,31,否,上海,上海
72,女,36,是,福建,漳州
73,女,34,是,山西,太原
74,女,21,否,天津,天津
75,女,19,是,浙江,温州
76,男,28,是,广西,北海
77,男,32,是,北京,北京
78,男,34,是,辽宁,鞍山
79,女,32,是,浙江,杭州
80,男,23,是,广西,柳州
81,女,22,是,北京,北京
82,男,32,是,北京,北京
83,女,25,是,内蒙古,呼和浩特
84,男,24,否,四川,绵阳
85,女,34,是,陕西,渭南
86,男,26,否,江苏,苏州
87,男,19,否,广东,佛山
88,女,19,是,山东,威海
89,男,54,否,海南,三亚
90,男,29,否,上海,上海
91,女,23,是,湖北,襄阳
92,女,34,是,湖南,湘潭
93,男,63,否,贵州,贵阳
94,女,47,否,湖南,衡阳
95,男,32,是,海南,儋州
96,男,30,是,贵州,安顺
97,女,22,是,云南,曲靖
98,男,52,否,河北,石家庄
99,男,26,是,山西,太原
100,男,27,是,广西,柳州
101,女,62,是,广东,深圳
102,女,33,是,北京,北京
103,男,32,是,辽宁,抚顺
104,女,38,否,浙江,金华
105,女,41,是,重庆,重庆
106,男,22,是,上海,上海
107,女,19,是,重庆,重庆
108,女,31,否,山西,运城
109,男,23,否,西藏,拉萨
110,男,36,是,天津,天津
111,男,20,是,浙江,金华
112,男,18,否,湖北,宜昌
113,男,23,是,浙江,杭州
114,男,20,否,山东,威海
115,男,70,是,湖北,襄阳
116,女,24,否,山东,临沂
117,女,39,否,浙江,温州
118,男,27,否,新疆,喀什
119,女,20,否,上海,上海
120,女,19,否,内蒙古,包头
121,女,39,否,海南,三亚
122,女,47,否,浙江,金华
123,男,18,是,天津,天津
124,女,19,是,安徽,蚌埠
125,女,26,是,海南,三亚
126,女,33,是,云南,大理
127,女,49,是,福建,漳州
128,男,36,否,福建,泉州
129,女,18,否,吉林,长春
130,男,38,否,黑龙江,哈尔滨
131,男,28,是,广东,珠海
132,男,63,否,广东,广州
133,女,38,否,北京,北京
134,女,26,是,贵州,安顺
135,女,34,是,黑龙江,齐齐哈尔
136,女,25,是,河南,许昌
137,男,32,是,上海,上海
138,女,34,否,四川,乐山
139,女,31,是,天津,天津
140,男,32,是,广西,柳州
141,女,27,否,河南,郑州
142,女,43,是,宁夏,石嘴山
143,男,54,是,上海,上海
144,女,18,是,辽宁,沈阳
145,男,29,是,山东,烟台
146,女,23,否,北京,北京
147,女,30,是,四川,乐山
148,男,24,否,天津,天津
149,女,32,是,浙江,绍兴
150,女,23,否,河北,保定
151,女,56,是,四川,绵阳
152,女,21,否,江苏,常州
153,男,30,是,内蒙古,呼和浩特
154,女,50,否,江西,上饶
155,女,20,是,海南,三亚
156,女,38,是,湖北,武汉
157,女,38,是,江苏,南通
158,女,27,是,广东,深圳
159,男,36,是,贵州,遵义
160,女,34,否,西藏,日喀则
161,女,21,否,黑龙江,齐齐哈尔
162,男,32,是,福建,泉州
163,男,33,是,江西,南昌
164,男,32,否,宁夏,石嘴山
165,女,57,否,江苏,苏州
166,女,29,是,贵州,安顺
167,女,18,否,湖北,襄阳
168,女,23,是,福建,漳州
169,男,31,否,四川,绵阳
170,男,31,否,北京,北京
171,男,32,是,西藏,拉萨
172,男,33,否,内蒙古,呼和浩特
173,男,27,是,山西,大同
174,男,54,是,云南,曲靖
175,男,32,否,江苏,南通
176,女,48,否,广东,东莞
177,女,43,否,广西,南宁
178,男,22,是,湖南,株洲
179,女,22,是,湖北,武汉
180,男,26,否,重庆,重庆
181,女,52,否,广东,中山
182,男,45,是,山西,运城
183,女,18,是,湖南,衡阳
184,女,25,否,江西,九江
185,男,28,否,江苏,南京
186,女,22,否,黑龙江,齐齐哈尔
187,女,35,否,青海,海东
188,女,23,否,贵州,安顺
189,女,37,否,天津,天津
190,女,19,是,江苏,南京
191,女,33,是,北京,北京
192,男,40,是,黑龙江,大庆
193,女,52,否,福建,泉州
194,女,27,否,四川,成都
195,女,34,否,江苏,常州
196,男,40,否,湖南,长沙
197,女,27,否,广东,珠海
198,男,23,是,湖北,武汉
199,女,26,否,陕西,渭南
200,女,18,是,江苏,南通
